	Date	Name	Text	Compound	Positive	Negative	Neutral	Tweets Ago
172	Mon Jun 11 00:58:06 +0000 2018	@CBS	🌟 @joshgroban and @SaraBareilles are Host Goals. 🌟 #TonyAwards https://t.co/OGQec8cXJ6	0.0	0.0	1.0	0.0	173
171	Mon Jun 11 01:02:47 +0000 2018	@CBS	Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE	0.8834	0.563	0.437	0.0	172
170	Mon Jun 11 01:08:24 +0000 2018	@CBS	Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi	0.1531	0.148	0.852	0.0	171
169	Mon Jun 11 01:08:28 +0000 2018	@CBS	RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO	0.1511	0.102	0.898	0.0	170
168	Mon Jun 11 01:12:31 +0000 2018	@CBS	RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards	0.6369	0.375	0.625	0.0	169
167	Mon Jun 11 01:19:59 +0000 2018	@CBS	So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!… https://t.co/m1aRNIHPRK	0.9151	0.457	0.543	0.0	168
166	Mon Jun 11 01:24:12 +0000 2018	@CBS	.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka	0.4019	0.162	0.838	0.0	167
165	Mon Jun 11 01:24:46 +0000 2018	@CBS	Such a touching moment at the #TonyAwards. ❤️ https://t.co/4kJWTHVPZ8	0.0	0.0	1.0	0.0	166
164	Mon Jun 11 01:25:59 +0000 2018	@CBS	RT @KatLargent: MAGIC #TonyAwards	0.0	0.0	1.0	0.0	165
163	Mon Jun 11 01:26:03 +0000 2018	@CBS	RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.	0.7351	0.296	0.625	0.079	164
162	Mon Jun 11 01:29:21 +0000 2018	@CBS	.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn	0.0	0.0	1.0	0.0	163
161	Mon Jun 11 01:30:56 +0000 2018	@CBS	Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW	0.8834	0.563	0.437	0.0	162
160	Mon Jun 11 01:37:36 +0000 2018	@CBS	RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys	0.636	0.276	0.724	0.0	161
159	Mon Jun 11 01:38:23 +0000 2018	@CBS	If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr	0.0	0.0	1.0	0.0	160
158	Mon Jun 11 01:51:16 +0000 2018	@CBS	RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards	0.6467	0.248	0.752	0.0	159
157	Mon Jun 11 01:53:17 +0000 2018	@CBS	RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards	0.7579	0.565	0.435	0.0	158
156	Mon Jun 11 01:58:48 +0000 2018	@CBS	@writerlindsayb You're welcome! #TonyAwards	0.5093	0.523	0.477	0.0	157
155	Mon Jun 11 02:03:31 +0000 2018	@CBS	Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8	0.4926	0.262	0.738	0.0	156
154	Mon Jun 11 02:05:47 +0000 2018	@CBS	🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv	0.0	0.0	1.0	0.0	155
153	Mon Jun 11 02:11:03 +0000 2018	@CBS	Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN	0.8908	0.491	0.509	0.0	154
152	Mon Jun 11 02:16:06 +0000 2018	@CBS	That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ	0.0	0.0	1.0	0.0	153
151	Mon Jun 11 02:21:03 +0000 2018	@CBS	RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards	0.0	0.0	1.0	0.0	152
150	Mon Jun 11 02:23:56 +0000 2018	@CBS	Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a	0.8932	0.517	0.483	0.0	151
149	Mon Jun 11 02:29:18 +0000 2018	@CBS	"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv"	0.4215	0.123	0.877	0.0	150
148	Mon Jun 11 02:33:09 +0000 2018	@CBS	What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf	0.5994	0.302	0.698	0.0	149
147	Mon Jun 11 02:44:37 +0000 2018	@CBS	The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh	0.9523	0.55	0.45	0.0	148
146	Mon Jun 11 02:44:50 +0000 2018	@CBS	Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq	0.7978	0.543	0.457	0.0	147
145	Mon Jun 11 02:47:29 +0000 2018	@CBS	RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.	0.6369	0.318	0.682	0.0	146
144	Mon Jun 11 02:53:00 +0000 2018	@CBS	The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn	0.0	0.0	1.0	0.0	145
